player_name,season,team,position,age,games_played,games_started,games_started_percentage,awards,salary,salary_formatted,salary_rank,mpg,ppg,rpg,apg,spg,bpg,tov_pg,pf_pg,fg_pct,three_pt_pct,ft_pct,efg_pct,three_pm_pg,three_pa_pg,total_points,total_rebounds,total_assists,total_steals,total_blocks,PER,TS_pct,usage_pct,ORB_pct,DRB_pct,TRB_pct,AST_pct,STL_pct,BLK_pct,TOV_pct,OWS,DWS,WS,WS_per_48,OBPM,DBPM,BPM,VORP,points_per_million,salary_per_win_share,salary_per_vorp,salary_tier,scoring_tier,impact_tier,is_mvp_candidate,is_allstar,is_all_nba_first,is_dpoy_candidate,season_year
Stephen Curry,2024-25,GSW,PG,36.0,70.0,70.0,100.0,"MVP-9,CPOY-5,AS,NBA2",55761217.0,"$55,761,217",1.0,32.2,24.5,4.4,6.0,1.1,0.4,2.9,1.4,0.448,0.397,0.933,0.572,4.4,11.2,1718.0,310.0,421.0,80.0,30.0,21.5,0.618,29.8,1.9,13.3,7.4,31.3,1.7,1.3,12.6,5.2,2.7,7.9,0.168,6.4,0.0,6.3,4.8,0.44,7058382.0,11616920.0,Top 10 (Supermax),All-Star (20-25 PPG),Star (4-6 VORP),1,1,0,0,2024
Nikola Jokić,2024-25,DEN,C,29.0,70.0,70.0,100.0,"MVP-2,CPOY-2,AS,NBA1",51415938.0,"$51,415,938",2.0,36.7,29.6,12.7,10.2,1.8,0.6,3.3,2.3,0.576,0.417,0.8,0.627,2.0,4.7,2071.0,892.0,716.0,127.0,45.0,32.0,0.663,29.5,9.0,28.2,19.1,44.1,2.4,1.6,12.8,12.7,3.8,16.4,0.307,9.9,3.3,13.3,9.8,0.58,3135118.0,5246524.0,Top 10 (Supermax),Elite Scorer (25+ PPG),Superstar (6+ VORP),1,1,1,0,2024
Joel Embiid,2024-25,PHI,C,30.0,19.0,19.0,100.0,,51415938.0,"$51,415,938",2.0,30.2,23.8,8.2,4.5,0.7,0.9,3.3,2.2,0.444,0.299,0.882,0.481,1.2,4.1,452.0,155.0,85.0,14.0,18.0,23.4,0.58,34.2,6.8,24.5,15.3,25.6,1.2,3.1,13.7,0.9,0.5,1.4,0.118,3.7,-0.3,3.5,0.8,0.46,36725670.0,64269922.0,Top 10 (Supermax),All-Star (20-25 PPG),Average (0-2 VORP),0,0,0,0,2024
Kevin Durant,2024-25,PHO,PF,36.0,62.0,62.0,100.0,AS,51179020.0,"$51,179,020",4.0,36.5,26.6,6.0,4.2,0.8,1.2,3.1,1.7,0.527,0.43,0.839,0.598,2.6,6.0,1647.0,374.0,263.0,50.0,77.0,21.2,0.642,28.7,1.2,16.9,9.2,19.6,1.1,3.2,12.9,4.0,1.2,5.2,0.111,3.9,-0.7,3.2,3.0,0.52,9842119.0,17059673.0,Top 10 (Supermax),Elite Scorer (25+ PPG),Above Average (2-4 VORP),0,1,0,0,2024
Bradley Beal,2024-25,PHO,SG,31.0,53.0,38.0,71.7,,50203930.0,"$50,203,930",5.0,32.1,17.0,3.3,3.7,1.1,0.5,1.9,2.6,0.497,0.386,0.803,0.571,1.9,5.0,902.0,177.0,195.0,58.0,28.0,15.2,0.598,22.1,2.3,9.1,5.8,17.6,1.7,1.5,11.6,1.9,0.6,2.4,0.068,-0.1,-1.0,-1.1,0.4,0.34,20918304.0,125509825.0,Top 10 (Supermax),Starter (15-20 PPG),Average (0-2 VORP),0,0,0,0,2024
Devin Booker,2024-25,PHO,SG,28.0,75.0,75.0,100.0,,49205800.0,"$49,205,800",6.0,37.3,25.6,4.1,7.1,0.9,0.2,2.9,2.6,0.461,0.332,0.894,0.525,2.4,7.3,1923.0,305.0,529.0,67.0,16.0,19.3,0.589,29.3,3.1,8.9,6.1,30.6,1.2,0.5,11.9,6.1,0.3,6.4,0.111,2.8,-2.4,0.4,1.7,0.52,7688406.0,28944588.0,Top 10 (Supermax),Elite Scorer (25+ PPG),Average (0-2 VORP),0,0,0,0,2024
Karl-Anthony Towns,2024-25,NYK,C,29.0,72.0,72.0,100.0,"AS,NBA3",49205800.0,"$49,205,800",6.0,35.0,24.4,12.8,3.1,1.0,0.7,2.7,3.5,0.526,0.42,0.829,0.584,2.0,4.7,1759.0,920.0,222.0,71.0,50.0,23.4,0.63,27.4,9.8,32.0,21.0,13.8,1.4,1.9,12.1,6.3,3.8,10.1,0.193,3.5,0.1,3.6,3.5,0.5,4871861.0,14058800.0,Top 10 (Supermax),All-Star (20-25 PPG),Above Average (2-4 VORP),0,1,0,0,2024
Jaylen Brown,2024-25,BOS,SF,28.0,63.0,63.0,100.0,AS,49205800.0,"$49,205,800",6.0,34.3,22.2,5.8,4.5,1.2,0.3,2.6,2.4,0.463,0.324,0.764,0.515,1.8,5.7,1398.0,368.0,286.0,73.0,19.0,17.8,0.555,28.9,4.1,14.4,9.3,21.4,1.7,0.8,11.4,2.3,2.9,5.2,0.115,0.4,-0.4,0.0,1.1,0.45,9462654.0,44732545.0,Top 10 (Supermax),All-Star (20-25 PPG),Average (0-2 VORP),0,1,0,0,2024
Kawhi Leonard,2024-25,LAC,SF,33.0,37.0,37.0,100.0,,49205800.0,"$49,205,800",6.0,31.9,21.5,5.9,3.1,1.6,0.5,1.9,1.5,0.498,0.411,0.81,0.56,2.1,5.1,796.0,219.0,116.0,59.0,17.0,20.5,0.589,27.7,3.4,17.4,10.5,16.4,2.5,1.4,9.6,1.5,1.9,3.5,0.141,2.5,0.6,3.1,1.5,0.44,14058800.0,32803867.0,Top 10 (Supermax),All-Star (20-25 PPG),Average (0-2 VORP),0,0,0,0,2024
Paul George,2024-25,PHI,PF,34.0,41.0,41.0,100.0,,49205800.0,"$49,205,800",6.0,32.5,16.2,5.3,4.3,1.8,0.5,2.6,2.5,0.43,0.358,0.814,0.514,2.3,6.5,665.0,219.0,178.0,75.0,20.0,14.5,0.543,23.5,2.0,17.2,9.3,20.9,2.8,1.5,14.7,-0.2,1.2,1.0,0.036,-0.5,0.1,-0.4,0.5,0.33,49205800.0,98411600.0,Top 10 (Supermax),Starter (15-20 PPG),Average (0-2 VORP),0,0,0,0,2024
