player_name,current_season,current_team,current_age,current_salary,current_salary_formatted,current_salary_rank,current_games,current_ppg,current_rpg,current_apg,current_PER,current_TS_pct,current_WS,current_VORP,current_BPM,previous_season,previous_team,previous_salary,previous_salary_rank,previous_games,previous_ppg,previous_rpg,previous_apg,previous_PER,previous_TS_pct,previous_WS,previous_VORP,previous_BPM,salary_change,salary_change_pct,ppg_change,rpg_change,apg_change,vorp_change,ws_change,performance_trend,impact_trend,season_year
Tyler Herro,2024-25,MIA,25.0,29000000.0,"$29,000,000",55.0,77.0,23.9,5.2,5.5,19.7,0.605,7.4,3.5,3.1,2023-24,MIA,27000000.0,51.0,42.0,20.8,5.3,4.5,15.7,0.558,2.0,1.0,0.8,2000000.0,7.4,3.1,-0.1,1.0,2.5,5.4,Significantly Improved,Breakout,2024
Cade Cunningham,2024-25,DET,23.0,13940809.0,"$13,940,809",118.0,70.0,26.1,6.1,9.1,20.6,0.565,5.9,3.7,3.9,2023-24,DET,11055360.0,140.0,62.0,22.7,4.3,7.5,17.1,0.546,1.8,1.2,0.3,2885449.0,26.1,3.4,1.8,1.6,2.5,4.1,Significantly Improved,Breakout,2024
Darius Garland,2024-25,CLE,25.0,36725670.0,"$36,725,670",28.0,75.0,20.6,2.9,6.7,19.9,0.6,8.1,3.0,3.1,2023-24,CLE,34005250.0,29.0,57.0,18.0,2.7,6.5,14.5,0.56,2.7,0.5,-1.0,2720420.0,8.0,2.6,0.2,0.2,2.5,5.4,Significantly Improved,Breakout,2024
Jordan Poole,2024-25,WAS,25.0,29651786.0,"$29,651,786",52.0,68.0,20.5,3.0,4.5,16.6,0.591,2.0,1.2,0.4,2023-24,WAS,27955357.0,48.0,78.0,17.4,2.7,4.4,12.1,0.529,-0.6,-1.2,-3.9,1696429.0,6.1,3.1,0.3,0.1,2.4,2.6,Significantly Improved,Breakout,2024
Josh Hart,2024-25,NYK,29.0,18144000.0,"$18,144,000",95.0,77.0,13.6,9.6,5.9,16.5,0.611,9.2,3.6,2.8,2023-24,NYK,12960000.0,118.0,81.0,9.4,8.3,4.1,11.8,0.522,5.7,1.4,0.0,5184000.0,40.0,4.2,1.3,1.8,2.2,3.5,Significantly Improved,Breakout,2024
Ty Jerome,2024-25,CLE,27.0,2560975.0,"$2,560,975",347.0,70.0,12.5,2.5,3.4,21.0,0.643,5.9,2.2,4.3,2023-24,CLE,2439025.0,363.0,2.0,2.0,0.5,1.5,7.6,0.5,0.0,0.0,-4.9,121950.0,5.0,10.5,2.0,1.9,2.2,5.9,Significantly Improved,Breakout,2024
Amen Thompson,2024-25,HOU,22.0,9249748.0,"$9,249,748",174.0,69.0,14.1,8.2,3.8,18.7,0.602,8.0,3.4,4.1,2023-24,HOU,8809284.0,175.0,62.0,9.5,6.6,2.6,18.2,0.576,4.3,1.3,1.8,440464.0,5.0,4.6,1.6,1.2,2.1,3.7,Significantly Improved,Breakout,2024
Ivica Zubac,2024-25,LAC,27.0,11743210.0,"$11,743,210",142.0,80.0,16.8,12.6,2.7,22.3,0.641,11.7,3.4,3.1,2023-24,LAC,10933333.0,146.0,68.0,11.7,9.2,1.4,19.3,0.671,6.8,1.3,0.8,809877.0,7.4,5.1,3.4,1.3,2.1,4.9,Significantly Improved,Breakout,2024
Shai Gilgeous-Alexander,2024-25,OKC,26.0,35859950.0,"$35,859,950",34.0,76.0,32.7,5.0,6.4,30.7,0.637,16.7,8.9,11.5,2023-24,OKC,33386850.0,34.0,75.0,30.1,5.5,6.2,29.3,0.636,14.6,7.1,9.0,2473100.0,7.4,2.6,-0.5,0.2,1.8,2.1,Significantly Improved,Breakout,2024
OG Anunoby,2024-25,NYK,27.0,36637932.0,"$36,637,932",31.0,74.0,18.0,4.8,2.2,15.4,0.591,6.5,1.9,0.7,2023-24,TOR,18642857.0,84.0,27.0,15.1,3.9,2.7,12.6,0.598,1.0,0.1,-1.6,17995075.0,96.5,2.9,0.9,-0.5,1.8,5.5,Significantly Improved,Breakout,2024
Payton Pritchard,2024-25,BOS,27.0,6696429.0,"$6,696,429",211.0,80.0,14.3,3.8,3.5,17.6,0.633,8.6,3.2,3.5,2023-24,BOS,4037277.0,270.0,82.0,9.6,3.2,3.4,15.3,0.597,6.1,1.4,1.0,2659152.0,65.9,4.7,0.6,0.1,1.8,2.5,Significantly Improved,Breakout,2024
Jalen Duren,2024-25,DET,21.0,4536840.0,"$4,536,840",256.0,78.0,11.8,10.3,2.7,21.4,0.703,9.2,2.7,3.1,2023-24,DET,4330680.0,262.0,61.0,13.8,11.6,2.4,18.7,0.653,4.8,0.9,-0.1,206160.0,4.8,-2.0,-1.3,0.3,1.8,4.4,Declined,Breakout,2024
Toumani Camara,2024-25,POR,24.0,1891857.0,"$1,891,857",396.0,78.0,11.3,5.8,2.2,12.5,0.572,5.2,1.2,-0.1,2023-24,POR,1119563.0,462.0,70.0,7.5,4.9,1.2,10.6,0.547,2.0,-0.5,-3.1,772294.0,69.0,3.8,0.9,1.0,1.7,3.2,Significantly Improved,Breakout,2024
Jaden McDaniels,2024-25,MIN,24.0,22586207.0,"$22,586,207",78.0,82.0,12.2,5.7,2.0,13.3,0.562,6.3,1.4,0.0,2023-24,MIN,3901399.0,276.0,72.0,10.5,3.1,1.4,9.4,0.571,3.4,-0.3,-2.6,18684808.0,478.9,1.7,2.6,0.6,1.7,2.9,Improved,Breakout,2024
Andrew Wiggins,2024-25,2TM,29.0,26276786.0,"$26,276,786",61.0,60.0,18.0,4.5,2.6,16.4,0.566,4.0,1.4,0.9,2023-24,GSW,24330357.0,59.0,71.0,13.2,4.5,1.7,12.7,0.544,2.8,-0.3,-2.5,1946429.0,8.0,4.8,0.0,0.9,1.7,1.2,Significantly Improved,Breakout,2024
Evan Mobley,2024-25,CLE,23.0,11227657.0,"$11,227,657",148.0,71.0,18.5,9.3,3.2,22.3,0.633,9.0,3.6,4.6,2023-24,CLE,8882640.0,174.0,50.0,15.7,9.4,3.2,20.1,0.626,5.5,1.9,2.9,2345017.0,26.4,2.8,-0.1,0.0,1.7,3.5,Significantly Improved,Breakout,2024
Christian Braun,2024-25,DEN,23.0,3089640.0,"$3,089,640",313.0,79.0,15.4,5.2,2.6,16.0,0.665,8.0,1.6,0.3,2023-24,DEN,2949120.0,325.0,82.0,7.3,3.7,1.6,12.1,0.554,3.4,0.0,-1.9,140520.0,4.8,8.1,1.5,1.0,1.6,4.6,Significantly Improved,Breakout,2024
Deni Avdija,2024-25,POR,24.0,15625000.0,"$15,625,000",108.0,72.0,16.9,7.3,3.9,17.7,0.605,5.6,2.2,2.1,2023-24,WAS,6263188.0,217.0,75.0,14.7,7.2,3.8,14.9,0.597,3.2,0.6,-0.9,9361812.0,149.5,2.2,0.1,0.1,1.6,2.4,Significantly Improved,Breakout,2024
Tari Eason,2024-25,HOU,23.0,3695160.0,"$3,695,160",280.0,57.0,12.0,6.4,1.5,18.5,0.567,5.0,2.0,3.6,2023-24,HOU,3527160.0,289.0,22.0,9.8,7.0,1.2,17.1,0.528,1.3,0.4,1.6,168000.0,4.8,2.2,-0.6,0.3,1.6,3.7,Significantly Improved,Breakout,2024
Scoot Henderson,2024-25,POR,20.0,10259449.0,"$10,259,449",160.0,66.0,12.7,3.0,5.1,12.5,0.54,1.8,-0.1,-2.2,2023-24,POR,9770904.0,163.0,62.0,14.0,3.1,5.4,9.5,0.489,-1.7,-1.7,-5.8,488545.0,5.0,-1.3,-0.1,-0.3,1.6,3.5,Declined,Breakout,2024
