season,team,roster_count,total_payroll,avg_salary,max_salary,min_salary,avg_ppg,avg_rpg,avg_apg,avg_spg,avg_bpg,avg_fg_pct,avg_3pt_pct,avg_ts_pct,avg_efg_pct,avg_PER,total_WS,avg_WS,total_VORP,avg_VORP,avg_BPM,avg_OBPM,avg_DBPM,team_total_points,team_total_rebounds,team_total_assists,payroll_per_WS,payroll_per_VORP,season_year
2024-25,OKC,17,156619117.0,10441274.0,35859950,77500,9.45,3.82,2.11,0.82,0.52,0.452,0.34,0.565,0.543,14.81,70.7,4.16,24.1,1.42,0.95,-0.24,1.18,9877.0,3668.0,2201.0,2215263.0,6498719.0,2024
2024-25,BOS,17,198217736.0,13214516.0,49205800,571779,9.04,3.72,2.01,0.61,0.48,0.434,0.292,0.554,0.527,13.55,63.0,3.71,20.1,1.18,-0.09,-0.93,0.85,9527.0,3707.0,2144.0,3146313.0,9861579.0,2024
2024-25,CLE,18,189354954.0,14565766.0,36725670,1728448,9.3,3.56,2.15,0.63,0.32,0.454,0.316,0.561,0.541,13.76,63.6,3.53,19.9,1.11,0.1,-0.18,0.27,9930.0,3692.0,2299.0,2977279.0,9515324.0,2024
2024-25,2TM,75,685351259.0,11616123.0,48798677,79804,7.81,3.33,2.06,0.65,0.36,0.462,0.33,0.559,0.531,13.01,121.5,1.62,18.4,0.25,-1.83,-1.65,-0.18,30047.0,12307.0,7764.0,5640751.0,37247351.0,2024
2024-25,MIN,15,195912495.0,15070192.0,43827586,907334,9.02,3.5,2.11,0.66,0.38,0.456,0.326,0.564,0.529,14.31,54.0,3.6,16.1,1.07,-0.37,-0.93,0.57,9359.0,3620.0,2128.0,3628009.0,12168478.0,2024
2024-25,MEM,20,159539056.0,11395647.0,36725670,314053,8.91,3.55,2.15,0.67,0.4,0.45,0.313,0.57,0.526,14.14,51.7,2.58,15.6,0.78,-0.26,-0.45,0.18,9980.0,3875.0,2330.0,3085862.0,10226863.0,2024
2024-25,HOU,15,139886895.0,12716990.0,42846615,3695160,9.79,4.23,1.98,0.75,0.43,0.462,0.317,0.555,0.531,14.31,52.4,3.49,15.5,1.03,0.3,-0.43,0.72,9321.0,3943.0,1909.0,2669597.0,9024961.0,2024
2024-25,LAC,20,192618727.0,13758481.0,49205800,1157153,8.49,3.32,1.93,0.74,0.36,0.474,0.306,0.575,0.546,14.16,53.0,2.65,15.4,0.77,0.21,-0.93,1.14,9227.0,3581.0,2061.0,3634316.0,12507710.0,2024
2024-25,DEN,17,145202937.0,11169457.0,51415938,1891857,8.99,3.64,2.35,0.61,0.39,0.467,0.32,0.551,0.529,12.91,51.3,3.02,14.6,0.86,-1.89,-1.42,-0.48,9902.0,3751.0,2542.0,2830467.0,9945407.0,2024
2024-25,NYK,17,190383162.0,13598797.0,49205800,1112306,8.64,3.49,2.11,0.66,0.36,0.469,0.324,0.551,0.531,12.83,51.6,3.04,14.3,0.84,-1.34,-1.29,-0.03,9456.0,3469.0,2249.0,3689596.0,13313508.0,2024
2024-25,GSW,18,206895303.0,12930956.0,55761217,660790,9.66,3.73,2.51,0.78,0.4,0.456,0.321,0.557,0.528,14.79,49.2,2.73,14.1,0.78,0.19,-0.46,0.66,9240.0,3684.0,2360.0,4205189.0,14673426.0,2024
