player_name,season,team,position,age,games_played,salary,salary_formatted,salary_rank,pg_points,pg_rebounds,pg_assists,pg_steals,pg_blocks,PER,TS_pct,usage_pct,WS,VORP,BPM,OBPM,DBPM,points_per_million,salary_per_WS,salary_per_VORP,value_score,value_category,season_year
Branden Carlson,2024-25,OKC,C,25.0,32.0,77500,"$77,500",605,3.8,1.7,0.4,0.2,0.7,17.6,0.581,19.3,0.9,0.2,1.3,0.5,0.8,49.03,86111.0,387500.0,258.06,Fair Value,2024
Jaylin Williams,2024-25,OKC,PF,22.0,47.0,940543,"$940,543",444,5.9,5.6,2.6,0.5,0.6,16.4,0.594,14.6,3.3,1.2,4.3,1.5,2.7,6.27,285013.0,783786.0,127.59,Fair Value,2024
Keon Ellis,2024-25,SAC,SG,25.0,80.0,2120693,"$2,120,693",381,8.3,2.7,1.5,1.5,0.8,13.5,0.664,12.7,5.0,1.9,1.9,-0.1,2.0,3.91,424139.0,1116154.0,89.59,Fair Value,2024
Ty Jerome,2024-25,CLE,SG,27.0,70.0,2560975,"$2,560,975",347,12.5,2.5,3.4,1.1,0.0,21.0,0.643,23.6,5.9,2.2,4.3,3.5,0.8,4.88,434064.0,1164080.0,85.9,Good Value,2024
Scotty Pippen Jr.,2024-25,MEM,PG,24.0,79.0,2087519,"$2,087,519",387,9.9,3.3,4.4,1.3,0.4,15.8,0.582,19.3,4.7,1.7,1.9,0.0,1.8,4.74,444153.0,1227952.0,81.44,Fair Value,2024
Alperen Şengün,2024-25,HOU,C,22.0,76.0,5424654,"$5,424,654",233,19.1,10.3,4.9,1.1,0.8,21.4,0.545,26.2,8.3,3.9,4.4,2.6,1.8,3.52,653573.0,1390937.0,71.89,Good Value,2024
Jalen Williams,2024-25,OKC,SG,23.0,69.0,4775760,"$4,775,760",249,21.6,5.3,5.1,1.6,0.7,20.3,0.573,27.5,7.8,3.4,4.0,2.7,1.4,4.52,612277.0,1404635.0,71.19,Good Value,2024
Brandon Williams,2024-25,DAL,PG,25.0,33.0,598120,"$598,120",464,8.3,1.8,2.3,0.7,0.2,18.3,0.634,22.6,1.3,0.4,1.0,1.0,-0.1,13.88,460092.0,1495300.0,66.88,Fair Value,2024
Luke Kornet,2024-25,BOS,C,29.0,73.0,2800834,"$2,800,834",331,6.0,5.3,1.6,0.5,1.0,19.6,0.683,11.4,7.0,1.8,3.3,1.6,1.7,2.14,400119.0,1556019.0,64.27,Fair Value,2024
Toumani Camara,2024-25,POR,PF,24.0,78.0,1891857,"$1,891,857",396,11.3,5.8,2.2,1.5,0.6,12.5,0.572,14.4,5.2,1.2,-0.1,-0.9,0.8,5.97,363819.0,1576548.0,63.43,Fair Value,2024
Jalen Duren,2024-25,DET,C,21.0,78.0,4536840,"$4,536,840",256,11.8,10.3,2.7,0.7,1.1,21.4,0.703,16.4,9.2,2.7,3.1,1.6,1.5,2.6,493135.0,1680311.0,59.51,Good Value,2024
Walker Kessler,2024-25,UTA,C,23.0,58.0,2965920,"$2,965,920",324,11.1,12.2,1.7,0.6,2.4,20.0,0.66,13.7,5.4,1.7,1.8,1.1,0.7,3.74,549244.0,1744659.0,57.32,Fair Value,2024
Jordan Goodwin,2024-25,LAL,PG,26.0,29.0,364102,"$364,102",531,5.6,3.9,1.4,1.0,0.4,12.1,0.541,14.1,1.0,0.2,-0.8,-1.7,0.8,15.38,364102.0,1820510.0,54.93,Fair Value,2024
Tari Eason,2024-25,HOU,PF,23.0,57.0,3695160,"$3,695,160",280,12.0,6.4,1.5,1.7,0.9,18.5,0.567,19.4,5.0,2.0,3.6,1.0,2.6,3.25,739032.0,1847580.0,54.12,Good Value,2024
Jay Huff,2024-25,MEM,C,26.0,64.0,2088033,"$2,088,033",386,6.9,2.0,0.6,0.3,0.9,18.2,0.666,19.6,2.5,1.1,3.5,2.5,1.0,3.3,835213.0,1898212.0,52.68,Fair Value,2024
Sam Hauser,2024-25,BOS,PF,27.0,71.0,2092344,"$2,092,344",384,8.5,3.2,0.9,0.6,0.2,12.8,0.632,14.3,4.4,1.1,0.8,0.9,-0.1,4.06,475533.0,1902131.0,52.57,Fair Value,2024
